artifact,artifact_type,technique,ref_type,ref_value,source_file
CleverHans,Tool,Madry Et Al,author_citation,"Madry et al, 2017",cleverhans/tf2/attacks/madry_et_al.py
CleverHans,Tool,Projected Gradient Descent,arxiv,1412.6572,cleverhans/tf2/attacks/projected_gradient_descent.py
CleverHans,Tool,Projected Gradient Descent,arxiv,1611.01236,cleverhans/tf2/attacks/projected_gradient_descent.py
CleverHans,Tool,Projected Gradient Descent,author_citation,"Kurakin et al., 2016",cleverhans/tf2/attacks/projected_gradient_descent.py
CleverHans,Tool,Projected Gradient Descent,author_citation,"Kurakin et al., 2016",cleverhans/tf2/attacks/projected_gradient_descent.py
CleverHans,Tool,Projected Gradient Descent,author_citation,"Madry et al., 2017",cleverhans/tf2/attacks/projected_gradient_descent.py
CleverHans,Tool,Momentum Iterative Method,arxiv,1611.01236,cleverhans/tf2/attacks/momentum_iterative_method.py
CleverHans,Tool,Momentum Iterative Method,author_citation,"Dong et al., 2017",cleverhans/tf2/attacks/momentum_iterative_method.py
CleverHans,Tool,Momentum Iterative Method,author_citation,"NIPS, 2017",cleverhans/tf2/attacks/momentum_iterative_method.py
CleverHans,Tool,Spsa,arxiv,1802.05666,cleverhans/tf2/attacks/spsa.py
CleverHans,Tool,Spsa,arxiv,1802.05666,cleverhans/tf2/attacks/spsa.py
CleverHans,Tool,Spsa,arxiv,1412.6980,cleverhans/tf2/attacks/spsa.py
CleverHans,Tool,Spsa,author_citation,"Uesato et al., 2018",cleverhans/tf2/attacks/spsa.py
CleverHans,Tool,Fast Gradient Method,arxiv,1412.6572,cleverhans/tf2/attacks/fast_gradient_method.py
CleverHans,Tool,Fast Gradient Method,arxiv,1611.01236,cleverhans/tf2/attacks/fast_gradient_method.py
CleverHans,Tool,Carlini Wagner L2,arxiv,1608.04644,cleverhans/tf2/attacks/carlini_wagner_l2.py
CleverHans,Tool,Success Fail,author_citation,"after, 2019",cleverhans/plot/success_fail.py
CleverHans,Tool,Semantic,arxiv,1703.06857,cleverhans/torch/attacks/semantic.py
CleverHans,Tool,Projected Gradient Descent,arxiv,1412.6572,cleverhans/torch/attacks/projected_gradient_descent.py
CleverHans,Tool,Projected Gradient Descent,arxiv,1611.01236,cleverhans/torch/attacks/projected_gradient_descent.py
CleverHans,Tool,Projected Gradient Descent,author_citation,"Kurakin et al., 2016",cleverhans/torch/attacks/projected_gradient_descent.py
CleverHans,Tool,Projected Gradient Descent,author_citation,"Kurakin et al., 2016",cleverhans/torch/attacks/projected_gradient_descent.py
CleverHans,Tool,Projected Gradient Descent,author_citation,"Madry et al., 2017",cleverhans/torch/attacks/projected_gradient_descent.py
CleverHans,Tool,Hop Skip Jump Attack,arxiv,1904.02144,cleverhans/torch/attacks/hop_skip_jump_attack.py
CleverHans,Tool,Noise,arxiv,1802.00420,cleverhans/torch/attacks/noise.py
CleverHans,Tool,Spsa,arxiv,1802.05666,cleverhans/torch/attacks/spsa.py
CleverHans,Tool,Spsa,arxiv,1611.01236,cleverhans/torch/attacks/spsa.py
CleverHans,Tool,Spsa,author_citation,"Uesato et al., 2018",cleverhans/torch/attacks/spsa.py
CleverHans,Tool,Fast Gradient Method,arxiv,1412.6572,cleverhans/torch/attacks/fast_gradient_method.py
CleverHans,Tool,Fast Gradient Method,arxiv,1611.01236,cleverhans/torch/attacks/fast_gradient_method.py
CleverHans,Tool,Sparse L1 Descent,author_citation,"Tramer and Boneh, 2019",cleverhans/torch/attacks/sparse_l1_descent.py
CleverHans,Tool,Sparse L1 Descent,author_citation,"Tramer and Boneh, 2019",cleverhans/torch/attacks/sparse_l1_descent.py
CleverHans,Tool,Carlini Wagner L2,arxiv,1608.04644,cleverhans/torch/attacks/carlini_wagner_l2.py
CleverHans,Tool,Carlini Wagner L2,arxiv,1611.01236,cleverhans/torch/attacks/carlini_wagner_l2.py
CleverHans,Tool,Carlini Wagner L2,author_citation,"is, 1000",cleverhans/torch/attacks/carlini_wagner_l2.py
CleverHans,Tool,Projected Gradient Descent,arxiv,1412.6572,cleverhans/jax/attacks/projected_gradient_descent.py
CleverHans,Tool,Projected Gradient Descent,arxiv,1611.01236,cleverhans/jax/attacks/projected_gradient_descent.py
CleverHans,Tool,Projected Gradient Descent,author_citation,"Kurakin et al., 2016",cleverhans/jax/attacks/projected_gradient_descent.py
CleverHans,Tool,Projected Gradient Descent,author_citation,"Kurakin et al., 2016",cleverhans/jax/attacks/projected_gradient_descent.py
CleverHans,Tool,Projected Gradient Descent,author_citation,"Madry et al., 2017",cleverhans/jax/attacks/projected_gradient_descent.py
CleverHans,Tool,Fast Gradient Method,arxiv,1412.6572,cleverhans/jax/attacks/fast_gradient_method.py
CleverHans,Tool,Fast Gradient Method,arxiv,1611.01236,cleverhans/jax/attacks/fast_gradient_method.py
IBM ART,Tool,Attack,author_citation,"Authors, 2018",art/attacks/attack.py
IBM ART,Tool,Newtonfool,author_citation,"Authors, 2018",art/attacks/evasion/newtonfool.py
IBM ART,Tool,Carlini,arxiv,1608.04644,art/attacks/evasion/carlini.py
IBM ART,Tool,Carlini,arxiv,1608.04644,art/attacks/evasion/carlini.py
IBM ART,Tool,Carlini,arxiv,1608.04644,art/attacks/evasion/carlini.py
IBM ART,Tool,Carlini,author_citation,"Authors, 2018",art/attacks/evasion/carlini.py
IBM ART,Tool,Carlini,author_citation,"Carlini and Wagner, 2016",art/attacks/evasion/carlini.py
IBM ART,Tool,Auto Conjugate Gradient,arxiv,2206.09628,art/attacks/evasion/auto_conjugate_gradient.py
IBM ART,Tool,Auto Conjugate Gradient,arxiv,2206.09628,art/attacks/evasion/auto_conjugate_gradient.py
IBM ART,Tool,Auto Conjugate Gradient,arxiv,1611.01236,art/attacks/evasion/auto_conjugate_gradient.py
IBM ART,Tool,Auto Conjugate Gradient,author_citation,"Authors, 2020",art/attacks/evasion/auto_conjugate_gradient.py
IBM ART,Tool,Boundary,arxiv,1712.04248,art/attacks/evasion/boundary.py
IBM ART,Tool,Boundary,arxiv,1712.04248,art/attacks/evasion/boundary.py
IBM ART,Tool,Boundary,author_citation,"Authors, 2019",art/attacks/evasion/boundary.py
IBM ART,Tool,Elastic Net,arxiv,1709.04114,art/attacks/evasion/elastic_net.py
IBM ART,Tool,Elastic Net,arxiv,1709.04114,art/attacks/evasion/elastic_net.py
IBM ART,Tool,Elastic Net,author_citation,"Authors, 2018",art/attacks/evasion/elastic_net.py
IBM ART,Tool,Dpatch,arxiv,1806.02299,art/attacks/evasion/dpatch.py
IBM ART,Tool,Dpatch,arxiv,1806.02299,art/attacks/evasion/dpatch.py
IBM ART,Tool,Dpatch,author_citation,"Authors, 2020",art/attacks/evasion/dpatch.py
IBM ART,Tool,Adversarial Asr,arxiv,1801.01944,art/attacks/evasion/adversarial_asr.py
IBM ART,Tool,Adversarial Asr,arxiv,1801.01944,art/attacks/evasion/adversarial_asr.py
IBM ART,Tool,Adversarial Asr,author_citation,"Authors, 2020",art/attacks/evasion/adversarial_asr.py
IBM ART,Tool,Sign Opt,author_citation,"Authors, 2022",art/attacks/evasion/sign_opt.py
IBM ART,Tool,Sign Opt,author_citation,"recommended, 5000",art/attacks/evasion/sign_opt.py
IBM ART,Tool,Sign Opt,author_citation,"recommended, 4000",art/attacks/evasion/sign_opt.py
IBM ART,Tool,Sign Opt,author_citation,"Chen and Zhang, 2019",art/attacks/evasion/sign_opt.py
IBM ART,Tool,Deepfool,arxiv,1511.04599,art/attacks/evasion/deepfool.py
IBM ART,Tool,Deepfool,arxiv,1511.04599,art/attacks/evasion/deepfool.py
IBM ART,Tool,Deepfool,author_citation,"Authors, 2018",art/attacks/evasion/deepfool.py
IBM ART,Tool,Iterative Method,arxiv,1607.02533,art/attacks/evasion/iterative_method.py
IBM ART,Tool,Iterative Method,arxiv,1607.02533,art/attacks/evasion/iterative_method.py
IBM ART,Tool,Iterative Method,author_citation,"Authors, 2018",art/attacks/evasion/iterative_method.py
IBM ART,Tool,Pixel Threshold,arxiv,1906.06026,art/attacks/evasion/pixel_threshold.py
IBM ART,Tool,Pixel Threshold,arxiv,1710.08864,art/attacks/evasion/pixel_threshold.py
IBM ART,Tool,Pixel Threshold,arxiv,1906.06026,art/attacks/evasion/pixel_threshold.py
IBM ART,Tool,Pixel Threshold,arxiv,1611.01236,art/attacks/evasion/pixel_threshold.py
IBM ART,Tool,Pixel Threshold,arxiv,1710.08864,art/attacks/evasion/pixel_threshold.py
IBM ART,Tool,Pixel Threshold,arxiv,1906.06026,art/attacks/evasion/pixel_threshold.py
IBM ART,Tool,Pixel Threshold,arxiv,1906.06026,art/attacks/evasion/pixel_threshold.py
IBM ART,Tool,Pixel Threshold,author_citation,"Authors, 2020",art/attacks/evasion/pixel_threshold.py
IBM ART,Tool,Pixel Threshold,author_citation,"Kondratyuk, 2018",art/attacks/evasion/pixel_threshold.py
IBM ART,Tool,Pixel Threshold,author_citation,"Nelson, 2014",art/attacks/evasion/pixel_threshold.py
IBM ART,Tool,Pixel Threshold,author_citation,"June, 2000",art/attacks/evasion/pixel_threshold.py
IBM ART,Tool,Pixel Threshold,author_citation,"Copyright, 1984",art/attacks/evasion/pixel_threshold.py
IBM ART,Tool,Pixel Threshold,author_citation,"Optimization, 1997",art/attacks/evasion/pixel_threshold.py
IBM ART,Tool,Saliency Map,arxiv,1511.07528,art/attacks/evasion/saliency_map.py
IBM ART,Tool,Saliency Map,arxiv,1511.07528,art/attacks/evasion/saliency_map.py
IBM ART,Tool,Saliency Map,author_citation,"Authors, 2018",art/attacks/evasion/saliency_map.py
IBM ART,Tool,Saliency Map,author_citation,"Papernot et al., 2016",art/attacks/evasion/saliency_map.py
IBM ART,Tool,Targeted Universal Perturbation,arxiv,1911.06502,art/attacks/evasion/targeted_universal_perturbation.py
IBM ART,Tool,Targeted Universal Perturbation,arxiv,1911.06502,art/attacks/evasion/targeted_universal_perturbation.py
IBM ART,Tool,Targeted Universal Perturbation,author_citation,"Authors, 2020",art/attacks/evasion/targeted_universal_perturbation.py
IBM ART,Tool,Auto Projected Gradient Descent,arxiv,2003.01690,art/attacks/evasion/auto_projected_gradient_descent.py
IBM ART,Tool,Auto Projected Gradient Descent,arxiv,2003.01690,art/attacks/evasion/auto_projected_gradient_descent.py
IBM ART,Tool,Auto Projected Gradient Descent,arxiv,1611.01236,art/attacks/evasion/auto_projected_gradient_descent.py
IBM ART,Tool,Auto Projected Gradient Descent,author_citation,"Authors, 2020",art/attacks/evasion/auto_projected_gradient_descent.py
IBM ART,Tool,Frame Saliency,arxiv,1811.11875,art/attacks/evasion/frame_saliency.py
IBM ART,Tool,Frame Saliency,arxiv,1811.11875,art/attacks/evasion/frame_saliency.py
IBM ART,Tool,Frame Saliency,author_citation,"Authors, 2020",art/attacks/evasion/frame_saliency.py
IBM ART,Tool,Brendel Bethge,arxiv,1907.01003,art/attacks/evasion/brendel_bethge.py
IBM ART,Tool,Brendel Bethge,author_citation,"Authors, 2020",art/attacks/evasion/brendel_bethge.py
IBM ART,Tool,Pe Malware Attack,arxiv,1810.08280,art/attacks/evasion/pe_malware_attack.py
IBM ART,Tool,Pe Malware Attack,arxiv,2008.07125,art/attacks/evasion/pe_malware_attack.py
IBM ART,Tool,Pe Malware Attack,arxiv,1810.08280,art/attacks/evasion/pe_malware_attack.py
IBM ART,Tool,Pe Malware Attack,arxiv,1901.03583,art/attacks/evasion/pe_malware_attack.py
IBM ART,Tool,Pe Malware Attack,arxiv,1810.08280,art/attacks/evasion/pe_malware_attack.py
IBM ART,Tool,Pe Malware Attack,arxiv,2008.07125,art/attacks/evasion/pe_malware_attack.py
IBM ART,Tool,Pe Malware Attack,arxiv,1810.08280,art/attacks/evasion/pe_malware_attack.py
IBM ART,Tool,Pe Malware Attack,arxiv,1901.03583,art/attacks/evasion/pe_malware_attack.py
IBM ART,Tool,Pe Malware Attack,author_citation,"Authors, 2021",art/attacks/evasion/pe_malware_attack.py
IBM ART,Tool,Virtual Adversarial,arxiv,1507.00677,art/attacks/evasion/virtual_adversarial.py
IBM ART,Tool,Virtual Adversarial,arxiv,1507.00677,art/attacks/evasion/virtual_adversarial.py
IBM ART,Tool,Virtual Adversarial,author_citation,"Authors, 2018",art/attacks/evasion/virtual_adversarial.py
IBM ART,Tool,Universal Perturbation,arxiv,1610.08401,art/attacks/evasion/universal_perturbation.py
IBM ART,Tool,Universal Perturbation,arxiv,1610.08401,art/attacks/evasion/universal_perturbation.py
IBM ART,Tool,Universal Perturbation,author_citation,"Authors, 2018",art/attacks/evasion/universal_perturbation.py
IBM ART,Tool,Zoo,arxiv,1708.03999,art/attacks/evasion/zoo.py
IBM ART,Tool,Zoo,arxiv,1708.03999,art/attacks/evasion/zoo.py
IBM ART,Tool,Zoo,author_citation,"Authors, 2018",art/attacks/evasion/zoo.py
IBM ART,Tool,Spatial Transformation,arxiv,1712.02779,art/attacks/evasion/spatial_transformation.py
IBM ART,Tool,Spatial Transformation,arxiv,1712.02779,art/attacks/evasion/spatial_transformation.py
IBM ART,Tool,Spatial Transformation,author_citation,"Authors, 2018",art/attacks/evasion/spatial_transformation.py
IBM ART,Tool,Momentum Iterative Method,arxiv,1710.06081,art/attacks/evasion/momentum_iterative_method.py
IBM ART,Tool,Momentum Iterative Method,arxiv,1710.06081,art/attacks/evasion/momentum_iterative_method.py
IBM ART,Tool,Momentum Iterative Method,author_citation,"Authors, 2022",art/attacks/evasion/momentum_iterative_method.py
IBM ART,Tool,Square Attack,arxiv,1912.00049,art/attacks/evasion/square_attack.py
IBM ART,Tool,Square Attack,arxiv,1912.00049,art/attacks/evasion/square_attack.py
IBM ART,Tool,Square Attack,arxiv,1611.01236,art/attacks/evasion/square_attack.py
IBM ART,Tool,Square Attack,author_citation,"Authors, 2020",art/attacks/evasion/square_attack.py
IBM ART,Tool,Wasserstein,arxiv,1902.07906,art/attacks/evasion/wasserstein.py
IBM ART,Tool,Wasserstein,arxiv,1902.07906,art/attacks/evasion/wasserstein.py
IBM ART,Tool,Wasserstein,arxiv,1611.01236,art/attacks/evasion/wasserstein.py
IBM ART,Tool,Wasserstein,arxiv,1611.01236,art/attacks/evasion/wasserstein.py
IBM ART,Tool,Wasserstein,arxiv,1611.01236,art/attacks/evasion/wasserstein.py
IBM ART,Tool,Wasserstein,arxiv,1902.07906,art/attacks/evasion/wasserstein.py
IBM ART,Tool,Wasserstein,author_citation,"Authors, 2020",art/attacks/evasion/wasserstein.py
IBM ART,Tool,Auto Attack,arxiv,2003.01690,art/attacks/evasion/auto_attack.py
IBM ART,Tool,Auto Attack,arxiv,2003.01690,art/attacks/evasion/auto_attack.py
IBM ART,Tool,Auto Attack,arxiv,1611.01236,art/attacks/evasion/auto_attack.py
IBM ART,Tool,Auto Attack,author_citation,"Authors, 2020",art/attacks/evasion/auto_attack.py
IBM ART,Tool,Hop Skip Jump,arxiv,1904.02144,art/attacks/evasion/hop_skip_jump.py
IBM ART,Tool,Hop Skip Jump,arxiv,1904.02144,art/attacks/evasion/hop_skip_jump.py
IBM ART,Tool,Hop Skip Jump,author_citation,"Authors, 2019",art/attacks/evasion/hop_skip_jump.py
IBM ART,Tool,Hclu,arxiv,1812.02606,art/attacks/evasion/hclu.py
IBM ART,Tool,Hclu,arxiv,1812.02606,art/attacks/evasion/hclu.py
IBM ART,Tool,Hclu,author_citation,"Authors, 2019",art/attacks/evasion/hclu.py
IBM ART,Tool,Lowprofool,arxiv,1911.03274,art/attacks/evasion/lowprofool.py
IBM ART,Tool,Lowprofool,arxiv,1911.03274,art/attacks/evasion/lowprofool.py
IBM ART,Tool,Lowprofool,author_citation,"Authors, 2021",art/attacks/evasion/lowprofool.py
IBM ART,Tool,Shadow Attack,arxiv,2003.08937,art/attacks/evasion/shadow_attack.py
IBM ART,Tool,Shadow Attack,arxiv,2003.08937,art/attacks/evasion/shadow_attack.py
IBM ART,Tool,Shadow Attack,author_citation,"Authors, 2020",art/attacks/evasion/shadow_attack.py
IBM ART,Tool,Fast Gradient,arxiv,1412.6572,art/attacks/evasion/fast_gradient.py
IBM ART,Tool,Fast Gradient,arxiv,1412.6572,art/attacks/evasion/fast_gradient.py
IBM ART,Tool,Fast Gradient,arxiv,1611.01236,art/attacks/evasion/fast_gradient.py
IBM ART,Tool,Fast Gradient,author_citation,"Authors, 2018",art/attacks/evasion/fast_gradient.py
IBM ART,Tool,Simba,arxiv,1905.07121,art/attacks/evasion/simba.py
IBM ART,Tool,Simba,arxiv,1905.07121,art/attacks/evasion/simba.py
IBM ART,Tool,Simba,author_citation,"Authors, 2020",art/attacks/evasion/simba.py
IBM ART,Tool,Rescaling Auto Conjugate Gradient,arxiv,2408.03972,art/attacks/evasion/rescaling_auto_conjugate_gradient.py
IBM ART,Tool,Rescaling Auto Conjugate Gradient,arxiv,1611.01236,art/attacks/evasion/rescaling_auto_conjugate_gradient.py
IBM ART,Tool,Rescaling Auto Conjugate Gradient,author_citation,"Authors, 2024",art/attacks/evasion/rescaling_auto_conjugate_gradient.py
IBM ART,Tool,Composite Adversarial Attack,arxiv,2202.04235,art/attacks/evasion/composite_adversarial_attack.py
IBM ART,Tool,Composite Adversarial Attack,arxiv,2202.04235,art/attacks/evasion/composite_adversarial_attack.py
IBM ART,Tool,Composite Adversarial Attack,author_citation,"Authors, 2023",art/attacks/evasion/composite_adversarial_attack.py
IBM ART,Tool,Decision Tree Attack,arxiv,1605.07277,art/attacks/evasion/decision_tree_attack.py
IBM ART,Tool,Decision Tree Attack,author_citation,"Authors, 2018",art/attacks/evasion/decision_tree_attack.py
IBM ART,Tool,Dpatch Robust,arxiv,1806.02299,art/attacks/evasion/dpatch_robust.py
IBM ART,Tool,Dpatch Robust,arxiv,1906.11897,art/attacks/evasion/dpatch_robust.py
IBM ART,Tool,Dpatch Robust,arxiv,1806.02299,art/attacks/evasion/dpatch_robust.py
IBM ART,Tool,Dpatch Robust,arxiv,1906.11897,art/attacks/evasion/dpatch_robust.py
IBM ART,Tool,Dpatch Robust,author_citation,"Authors, 2020",art/attacks/evasion/dpatch_robust.py
IBM ART,Tool,Adversarial Texture Pytorch,arxiv,1904.11042,art/attacks/evasion/adversarial_texture/adversarial_texture_pytorch.py
IBM ART,Tool,Adversarial Texture Pytorch,arxiv,1904.11042,art/attacks/evasion/adversarial_texture/adversarial_texture_pytorch.py
IBM ART,Tool,Adversarial Texture Pytorch,author_citation,"Authors, 2021",art/attacks/evasion/adversarial_texture/adversarial_texture_pytorch.py
IBM ART,Tool,Steal Now Attack Later,arxiv,2304.05370,art/attacks/evasion/steal_now_attack_later/steal_now_attack_later.py
IBM ART,Tool,Steal Now Attack Later,arxiv,2404.15881,art/attacks/evasion/steal_now_attack_later/steal_now_attack_later.py
IBM ART,Tool,Steal Now Attack Later,author_citation,"Authors, 2024",art/attacks/evasion/steal_now_attack_later/steal_now_attack_later.py
IBM ART,Tool,Drop Block2D,author_citation,"Chintala, 2016",art/attacks/evasion/steal_now_attack_later/drop_block2d.py
IBM ART,Tool,Bbox Ioa,author_citation,"November, 2007",art/attacks/evasion/steal_now_attack_later/bbox_ioa.py
IBM ART,Tool,Bbox Ioa,author_citation,"December, 1996",art/attacks/evasion/steal_now_attack_later/bbox_ioa.py
IBM ART,Tool,Bbox Ioa,author_citation,"March, 2007",art/attacks/evasion/steal_now_attack_later/bbox_ioa.py
IBM ART,Tool,Feature Adversaries Pytorch,arxiv,1511.05122,art/attacks/evasion/feature_adversaries/feature_adversaries_pytorch.py
IBM ART,Tool,Feature Adversaries Pytorch,arxiv,1511.05122,art/attacks/evasion/feature_adversaries/feature_adversaries_pytorch.py
IBM ART,Tool,Feature Adversaries Pytorch,author_citation,"Authors, 2021",art/attacks/evasion/feature_adversaries/feature_adversaries_pytorch.py
IBM ART,Tool,Feature Adversaries Numpy,arxiv,1511.05122,art/attacks/evasion/feature_adversaries/feature_adversaries_numpy.py
IBM ART,Tool,Feature Adversaries Numpy,arxiv,1511.05122,art/attacks/evasion/feature_adversaries/feature_adversaries_numpy.py
IBM ART,Tool,Feature Adversaries Numpy,author_citation,"Authors, 2020",art/attacks/evasion/feature_adversaries/feature_adversaries_numpy.py
IBM ART,Tool,Feature Adversaries Tensorflow,arxiv,1511.05122,art/attacks/evasion/feature_adversaries/feature_adversaries_tensorflow.py
IBM ART,Tool,Feature Adversaries Tensorflow,arxiv,1511.05122,art/attacks/evasion/feature_adversaries/feature_adversaries_tensorflow.py
IBM ART,Tool,Feature Adversaries Tensorflow,author_citation,"Authors, 2021",art/attacks/evasion/feature_adversaries/feature_adversaries_tensorflow.py
IBM ART,Tool,Imperceptible Asr,arxiv,1801.01944,art/attacks/evasion/imperceptible_asr/imperceptible_asr.py
IBM ART,Tool,Imperceptible Asr,author_citation,"Authors, 2020",art/attacks/evasion/imperceptible_asr/imperceptible_asr.py
IBM ART,Tool,Imperceptible Asr Pytorch,arxiv,1903.10346,art/attacks/evasion/imperceptible_asr/imperceptible_asr_pytorch.py
IBM ART,Tool,Imperceptible Asr Pytorch,arxiv,1903.10346,art/attacks/evasion/imperceptible_asr/imperceptible_asr_pytorch.py
IBM ART,Tool,Imperceptible Asr Pytorch,author_citation,"Authors, 2020",art/attacks/evasion/imperceptible_asr/imperceptible_asr_pytorch.py
IBM ART,Tool,Over The Air Flickering Pytorch,arxiv,2002.05123,art/attacks/evasion/over_the_air_flickering/over_the_air_flickering_pytorch.py
IBM ART,Tool,Over The Air Flickering Pytorch,arxiv,2002.05123,art/attacks/evasion/over_the_air_flickering/over_the_air_flickering_pytorch.py
IBM ART,Tool,Over The Air Flickering Pytorch,author_citation,"Authors, 2021",art/attacks/evasion/over_the_air_flickering/over_the_air_flickering_pytorch.py
IBM ART,Tool,Algorithms,arxiv,2103.06504,art/attacks/evasion/laser_attack/algorithms.py
IBM ART,Tool,Algorithms,author_citation,"Authors, 2021",art/attacks/evasion/laser_attack/algorithms.py
IBM ART,Tool,Laser Attack,arxiv,2103.06504,art/attacks/evasion/laser_attack/laser_attack.py
IBM ART,Tool,Laser Attack,arxiv,2103.06504,art/attacks/evasion/laser_attack/laser_attack.py
