artifact,artifact_type,technique,ref_type,ref_value,source_file
IBM ART,Tool,Laser Attack,author_citation,"Authors, 2021",art/attacks/evasion/laser_attack/laser_attack.py
IBM ART,Tool,Projected Gradient Descent Tensorflow V2,arxiv,1706.06083,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_tensorflow_v2.py
IBM ART,Tool,Projected Gradient Descent Tensorflow V2,arxiv,1706.06083,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_tensorflow_v2.py
IBM ART,Tool,Projected Gradient Descent Tensorflow V2,arxiv,1611.01236,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_tensorflow_v2.py
IBM ART,Tool,Projected Gradient Descent Tensorflow V2,arxiv,1611.01236,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_tensorflow_v2.py
IBM ART,Tool,Projected Gradient Descent Tensorflow V2,arxiv,1611.01236,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_tensorflow_v2.py
IBM ART,Tool,Projected Gradient Descent Tensorflow V2,author_citation,"Authors, 2020",art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_tensorflow_v2.py
IBM ART,Tool,Projected Gradient Descent Pytorch,arxiv,1706.06083,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_pytorch.py
IBM ART,Tool,Projected Gradient Descent Pytorch,arxiv,1706.06083,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_pytorch.py
IBM ART,Tool,Projected Gradient Descent Pytorch,arxiv,1611.01236,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_pytorch.py
IBM ART,Tool,Projected Gradient Descent Pytorch,arxiv,1611.01236,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_pytorch.py
IBM ART,Tool,Projected Gradient Descent Pytorch,arxiv,1611.01236,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_pytorch.py
IBM ART,Tool,Projected Gradient Descent Pytorch,author_citation,"Authors, 2020",art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_pytorch.py
IBM ART,Tool,Projected Gradient Descent,arxiv,1706.06083,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent.py
IBM ART,Tool,Projected Gradient Descent,arxiv,1706.06083,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent.py
IBM ART,Tool,Projected Gradient Descent,arxiv,1611.01236,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent.py
IBM ART,Tool,Projected Gradient Descent,author_citation,"Authors, 2020",art/attacks/evasion/projected_gradient_descent/projected_gradient_descent.py
IBM ART,Tool,Projected Gradient Descent Numpy,arxiv,1706.06083,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_numpy.py
IBM ART,Tool,Projected Gradient Descent Numpy,arxiv,1706.06083,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_numpy.py
IBM ART,Tool,Projected Gradient Descent Numpy,arxiv,1611.01236,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_numpy.py
IBM ART,Tool,Projected Gradient Descent Numpy,arxiv,1706.06083,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_numpy.py
IBM ART,Tool,Projected Gradient Descent Numpy,arxiv,1611.01236,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_numpy.py
IBM ART,Tool,Projected Gradient Descent Numpy,author_citation,"Authors, 2020",art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_numpy.py
IBM ART,Tool,Graphite Whitebox Pytorch,arxiv,2002.07088,art/attacks/evasion/graphite/graphite_whitebox_pytorch.py
IBM ART,Tool,Graphite Whitebox Pytorch,arxiv,2002.07088,art/attacks/evasion/graphite/graphite_whitebox_pytorch.py
IBM ART,Tool,Graphite Whitebox Pytorch,author_citation,"Authors, 2022",art/attacks/evasion/graphite/graphite_whitebox_pytorch.py
IBM ART,Tool,Graphite Blackbox,arxiv,2002.07088,art/attacks/evasion/graphite/graphite_blackbox.py
IBM ART,Tool,Graphite Blackbox,arxiv,2002.07088,art/attacks/evasion/graphite/graphite_blackbox.py
IBM ART,Tool,Graphite Blackbox,author_citation,"Authors, 2022",art/attacks/evasion/graphite/graphite_blackbox.py
IBM ART,Tool,Adversarial Patch,arxiv,1712.09665,art/attacks/evasion/adversarial_patch/adversarial_patch.py
IBM ART,Tool,Adversarial Patch,arxiv,1712.09665,art/attacks/evasion/adversarial_patch/adversarial_patch.py
IBM ART,Tool,Adversarial Patch,author_citation,"Authors, 2020",art/attacks/evasion/adversarial_patch/adversarial_patch.py
IBM ART,Tool,Adversarial Patch Numpy,arxiv,1712.09665,art/attacks/evasion/adversarial_patch/adversarial_patch_numpy.py
IBM ART,Tool,Adversarial Patch Numpy,arxiv,1712.09665,art/attacks/evasion/adversarial_patch/adversarial_patch_numpy.py
IBM ART,Tool,Adversarial Patch Numpy,author_citation,"Authors, 2018",art/attacks/evasion/adversarial_patch/adversarial_patch_numpy.py
IBM ART,Tool,Adversarial Patch Tensorflow,arxiv,1712.09665,art/attacks/evasion/adversarial_patch/adversarial_patch_tensorflow.py
IBM ART,Tool,Adversarial Patch Tensorflow,arxiv,1712.09665,art/attacks/evasion/adversarial_patch/adversarial_patch_tensorflow.py
IBM ART,Tool,Adversarial Patch Tensorflow,author_citation,"Authors, 2020",art/attacks/evasion/adversarial_patch/adversarial_patch_tensorflow.py
IBM ART,Tool,Adversarial Patch Pytorch,arxiv,1712.09665,art/attacks/evasion/adversarial_patch/adversarial_patch_pytorch.py
IBM ART,Tool,Adversarial Patch Pytorch,arxiv,1712.09665,art/attacks/evasion/adversarial_patch/adversarial_patch_pytorch.py
IBM ART,Tool,Adversarial Patch Pytorch,author_citation,"Authors, 2021",art/attacks/evasion/adversarial_patch/adversarial_patch_pytorch.py
IBM ART,Tool,Box Iou,author_citation,"Authors, 2025",art/attacks/evasion/overload/box_iou.py
IBM ART,Tool,Overload,arxiv,2304.05370,art/attacks/evasion/overload/overload.py
IBM ART,Tool,Overload,arxiv,2304.05370,art/attacks/evasion/overload/overload.py
IBM ART,Tool,Overload,author_citation,"Authors, 2024",art/attacks/evasion/overload/overload.py
IBM ART,Tool,Adversarial Embedding Attack,arxiv,1905.13409,art/attacks/poisoning/adversarial_embedding_attack.py
IBM ART,Tool,Adversarial Embedding Attack,author_citation,"Authors, 2020",art/attacks/poisoning/adversarial_embedding_attack.py
IBM ART,Tool,Sleeper Agent Attack,arxiv,2106.08970,art/attacks/poisoning/sleeper_agent_attack.py
IBM ART,Tool,Sleeper Agent Attack,author_citation,"Authors, 2022",art/attacks/poisoning/sleeper_agent_attack.py
IBM ART,Tool,Feature Collision Attack,arxiv,1804.00792,art/attacks/poisoning/feature_collision_attack.py
IBM ART,Tool,Feature Collision Attack,author_citation,"Authors, 2020",art/attacks/poisoning/feature_collision_attack.py
IBM ART,Tool,Feature Collision Attack,author_citation,"to, 2048",art/attacks/poisoning/feature_collision_attack.py
IBM ART,Tool,Bullseye Polytope Attack,arxiv,2005.00191,art/attacks/poisoning/bullseye_polytope_attack.py
IBM ART,Tool,Bullseye Polytope Attack,author_citation,"Authors, 2021",art/attacks/poisoning/bullseye_polytope_attack.py
IBM ART,Tool,Clean Label Backdoor Attack,author_citation,"Authors, 2020",art/attacks/poisoning/clean_label_backdoor_attack.py
IBM ART,Tool,Clean Label Backdoor Attack,author_citation,"Turner et al., 2018",art/attacks/poisoning/clean_label_backdoor_attack.py
IBM ART,Tool,Gradient Matching Attack,arxiv,2009.02276,art/attacks/poisoning/gradient_matching_attack.py
IBM ART,Tool,Gradient Matching Attack,arxiv,2009.02276,art/attacks/poisoning/gradient_matching_attack.py
IBM ART,Tool,Gradient Matching Attack,author_citation,"Authors, 2022",art/attacks/poisoning/gradient_matching_attack.py
IBM ART,Tool,Poisoning Attack Svm,author_citation,"Authors, 2019",art/attacks/poisoning/poisoning_attack_svm.py
IBM ART,Tool,Backdoor Attack,arxiv,1708.06733,art/attacks/poisoning/backdoor_attack.py
IBM ART,Tool,Backdoor Attack,author_citation,"Authors, 2020",art/attacks/poisoning/backdoor_attack.py
IBM ART,Tool,Backdoor Attack,author_citation,"Gu et al., 2017",art/attacks/poisoning/backdoor_attack.py
IBM ART,Tool,Bad Det Oda,arxiv,2205.14497,art/attacks/poisoning/bad_det/bad_det_oda.py
IBM ART,Tool,Bad Det Oda,arxiv,2205.14497,art/attacks/poisoning/bad_det/bad_det_oda.py
IBM ART,Tool,Bad Det Oda,author_citation,"Authors, 2023",art/attacks/poisoning/bad_det/bad_det_oda.py
IBM ART,Tool,Bad Det Oga,arxiv,2205.14497,art/attacks/poisoning/bad_det/bad_det_oga.py
IBM ART,Tool,Bad Det Oga,arxiv,2205.14497,art/attacks/poisoning/bad_det/bad_det_oga.py
IBM ART,Tool,Bad Det Oga,author_citation,"Authors, 2023",art/attacks/poisoning/bad_det/bad_det_oga.py
IBM ART,Tool,Bad Det Gma,arxiv,2205.14497,art/attacks/poisoning/bad_det/bad_det_gma.py
IBM ART,Tool,Bad Det Gma,arxiv,2205.14497,art/attacks/poisoning/bad_det/bad_det_gma.py
IBM ART,Tool,Bad Det Gma,author_citation,"Authors, 2023",art/attacks/poisoning/bad_det/bad_det_gma.py
IBM ART,Tool,Bad Det Rma,arxiv,2205.14497,art/attacks/poisoning/bad_det/bad_det_rma.py
IBM ART,Tool,Bad Det Rma,arxiv,2205.14497,art/attacks/poisoning/bad_det/bad_det_rma.py
IBM ART,Tool,Bad Det Rma,author_citation,"Authors, 2023",art/attacks/poisoning/bad_det/bad_det_rma.py
IBM ART,Tool,Backdoor Attack Dgm Trail,arxiv,2108.01644,art/attacks/poisoning/backdoor_attack_dgm/backdoor_attack_dgm_trail.py
IBM ART,Tool,Backdoor Attack Dgm Trail,author_citation,"Authors, 2022",art/attacks/poisoning/backdoor_attack_dgm/backdoor_attack_dgm_trail.py
IBM ART,Tool,Backdoor Attack Dgm Red,arxiv,2108.01644,art/attacks/poisoning/backdoor_attack_dgm/backdoor_attack_dgm_red.py
IBM ART,Tool,Backdoor Attack Dgm Red,author_citation,"Authors, 2022",art/attacks/poisoning/backdoor_attack_dgm/backdoor_attack_dgm_red.py
IBM ART,Tool,Loss Meter,author_citation,"Authors, 2022",art/attacks/poisoning/hidden_trigger_backdoor/loss_meter.py
IBM ART,Tool,Hidden Trigger Backdoor,arxiv,1910.00033,art/attacks/poisoning/hidden_trigger_backdoor/hidden_trigger_backdoor.py
IBM ART,Tool,Hidden Trigger Backdoor,arxiv,1910.00033,art/attacks/poisoning/hidden_trigger_backdoor/hidden_trigger_backdoor.py
IBM ART,Tool,Hidden Trigger Backdoor,author_citation,"Authors, 2022",art/attacks/poisoning/hidden_trigger_backdoor/hidden_trigger_backdoor.py
IBM ART,Tool,Hidden Trigger Backdoor,author_citation,"Saha et al, 2019",art/attacks/poisoning/hidden_trigger_backdoor/hidden_trigger_backdoor.py
IBM ART,Tool,Hidden Trigger Backdoor Pytorch,arxiv,1910.00033,art/attacks/poisoning/hidden_trigger_backdoor/hidden_trigger_backdoor_pytorch.py
IBM ART,Tool,Hidden Trigger Backdoor Pytorch,arxiv,1910.00033,art/attacks/poisoning/hidden_trigger_backdoor/hidden_trigger_backdoor_pytorch.py
IBM ART,Tool,Hidden Trigger Backdoor Pytorch,author_citation,"Authors, 2022",art/attacks/poisoning/hidden_trigger_backdoor/hidden_trigger_backdoor_pytorch.py
IBM ART,Tool,Hidden Trigger Backdoor Pytorch,author_citation,"Saha et al, 2019",art/attacks/poisoning/hidden_trigger_backdoor/hidden_trigger_backdoor_pytorch.py
IBM ART,Tool,Hidden Trigger Backdoor Keras,arxiv,1910.00033,art/attacks/poisoning/hidden_trigger_backdoor/hidden_trigger_backdoor_keras.py
IBM ART,Tool,Hidden Trigger Backdoor Keras,arxiv,1910.00033,art/attacks/poisoning/hidden_trigger_backdoor/hidden_trigger_backdoor_keras.py
IBM ART,Tool,Hidden Trigger Backdoor Keras,author_citation,"Authors, 2022",art/attacks/poisoning/hidden_trigger_backdoor/hidden_trigger_backdoor_keras.py
IBM ART,Tool,Audio Perturbations,author_citation,"Authors, 2022",art/attacks/poisoning/perturbations/audio_perturbations.py
IBM ART,Tool,Image Perturbations,author_citation,"Authors, 2020",art/attacks/poisoning/perturbations/image_perturbations.py
IBM ART,Tool,Mi Face,author_citation,"Authors, 2020",art/attacks/inference/model_inversion/mi_face.py
IBM ART,Tool,White Box Lifestyle Decision Tree,author_citation,"Authors, 2020",art/attacks/inference/attribute_inference/white_box_lifestyle_decision_tree.py
IBM ART,Tool,Black Box,author_citation,"Authors, 2020",art/attacks/inference/attribute_inference/black_box.py
IBM ART,Tool,White Box Decision Tree,author_citation,"Authors, 2020",art/attacks/inference/attribute_inference/white_box_decision_tree.py
IBM ART,Tool,Black Box,author_citation,"Authors, 2020",art/attacks/inference/membership_inference/black_box.py
IBM ART,Tool,Shadow Models,arxiv,1610.05820,art/attacks/inference/membership_inference/shadow_models.py
IBM ART,Tool,Shadow Models,arxiv,1610.05820,art/attacks/inference/membership_inference/shadow_models.py
IBM ART,Tool,Shadow Models,author_citation,"Authors, 2021",art/attacks/inference/membership_inference/shadow_models.py
IBM ART,Tool,Label Only Gap Attack,arxiv,2007.14321,art/attacks/inference/membership_inference/label_only_gap_attack.py
IBM ART,Tool,Label Only Gap Attack,author_citation,"Authors, 2020",art/attacks/inference/membership_inference/label_only_gap_attack.py
IBM ART,Tool,Label Only Boundary Distance,arxiv,2007.14321,art/attacks/inference/membership_inference/label_only_boundary_distance.py
IBM ART,Tool,Label Only Boundary Distance,arxiv,2007.15528,art/attacks/inference/membership_inference/label_only_boundary_distance.py
IBM ART,Tool,Label Only Boundary Distance,arxiv,2007.14321,art/attacks/inference/membership_inference/label_only_boundary_distance.py
IBM ART,Tool,Label Only Boundary Distance,arxiv,2007.15528,art/attacks/inference/membership_inference/label_only_boundary_distance.py
IBM ART,Tool,Label Only Boundary Distance,arxiv,2007.14321,art/attacks/inference/membership_inference/label_only_boundary_distance.py
IBM ART,Tool,Label Only Boundary Distance,arxiv,2007.15528,art/attacks/inference/membership_inference/label_only_boundary_distance.py
IBM ART,Tool,Label Only Boundary Distance,author_citation,"Authors, 2020",art/attacks/inference/membership_inference/label_only_boundary_distance.py
IBM ART,Tool,White Box,author_citation,"Authors, 2020",art/attacks/inference/reconstruction/white_box.py
IBM ART,Tool,Copycat Cnn,arxiv,1806.05476,art/attacks/extraction/copycat_cnn.py
IBM ART,Tool,Copycat Cnn,arxiv,1806.05476,art/attacks/extraction/copycat_cnn.py
IBM ART,Tool,Copycat Cnn,author_citation,"Authors, 2019",art/attacks/extraction/copycat_cnn.py
IBM ART,Tool,Knockoff Nets,arxiv,1812.02766,art/attacks/extraction/knockoff_nets.py
IBM ART,Tool,Knockoff Nets,arxiv,1812.02766,art/attacks/extraction/knockoff_nets.py
IBM ART,Tool,Knockoff Nets,author_citation,"Authors, 2020",art/attacks/extraction/knockoff_nets.py
IBM ART,Tool,Functionally Equivalent Extraction,arxiv,1909.01838,art/attacks/extraction/functionally_equivalent_extraction.py
IBM ART,Tool,Functionally Equivalent Extraction,arxiv,1909.01838,art/attacks/extraction/functionally_equivalent_extraction.py
IBM ART,Tool,Functionally Equivalent Extraction,author_citation,"Authors, 2019",art/attacks/extraction/functionally_equivalent_extraction.py
Foolbox,Tool,Inversion,arxiv,1607.02533,foolbox/attacks/inversion.py
Foolbox,Tool,Spatial Attack,arxiv,1712.02779,foolbox/attacks/spatial_attack.py
Foolbox,Tool,Deepfool,arxiv,1511.04599,foolbox/attacks/deepfool.py
Foolbox,Tool,Deepfool,arxiv,1511.04599,foolbox/attacks/deepfool.py
Foolbox,Tool,Deepfool,arxiv,1511.04599,foolbox/attacks/deepfool.py
Foolbox,Tool,Brendel Bethge,arxiv,1907.01003,foolbox/attacks/brendel_bethge.py
Foolbox,Tool,Additive Noise,arxiv,2007.07677,foolbox/attacks/additive_noise.py
Foolbox,Tool,Spatial Attack Transformations,arxiv,1506.02025,foolbox/attacks/spatial_attack_transformations.py
Foolbox,Tool,Spatial Attack Transformations,author_citation,"Jun, 2018",foolbox/attacks/spatial_attack_transformations.py
Foolbox,Tool,Sparse L1 Descent Attack,arxiv,1904.13000,foolbox/attacks/sparse_l1_descent_attack.py
Foolbox,Tool,Virtual Adversarial Attack,arxiv,1507.00677,foolbox/attacks/virtual_adversarial_attack.py
Foolbox,Tool,Hop Skip Jump,arxiv,1904.02144,foolbox/attacks/hop_skip_jump.py
Foolbox,Tool,Pointwise,arxiv,1805.09190,foolbox/attacks/pointwise.py
Foolbox,Tool,Ddn,arxiv,1811.09600,foolbox/attacks/ddn.py
Foolbox,Tool,Mi Fgsm,arxiv,1710.06081,foolbox/attacks/mi_fgsm.py
Foolbox,Tool,Carlini Wagner,arxiv,1608.04644,foolbox/attacks/carlini_wagner.py
Foolbox,Tool,Carlini Wagner,author_citation,"In, 2017",foolbox/attacks/carlini_wagner.py
Foolbox,Tool,Boundary Attack,arxiv,1712.04248,foolbox/attacks/boundary_attack.py
Foolbox,Tool,Gen Attack,arxiv,1805.11090,foolbox/attacks/gen_attack.py
Foolbox,Tool,Fast Minimum Norm,arxiv,2102.12827,foolbox/attacks/fast_minimum_norm.py
Foolbox,Tool,Fast Minimum Norm,arxiv,2102.12827,foolbox/attacks/fast_minimum_norm.py
Foolbox,Tool,Fast Minimum Norm,author_citation,"ICML, 2008",foolbox/attacks/fast_minimum_norm.py
TextAttack,Tool,Bert Attack Li 2020,arxiv,2004.09984,textattack/attack_recipes/bert_attack_li_2020.py
TextAttack,Tool,Bert Attack Li 2020,author_citation,"Jin et al., 2019",textattack/attack_recipes/bert_attack_li_2020.py
TextAttack,Tool,Bert Attack Li 2020,author_citation,"Cer et al., 2018",textattack/attack_recipes/bert_attack_li_2020.py
TextAttack,Tool,Pso Zang 2020,author_citation,"Eberhart and Kennedy, 1995",textattack/attack_recipes/pso_zang_2020.py
TextAttack,Tool,Textbugger Li 2018,arxiv,1812.05271,textattack/attack_recipes/textbugger_li_2018.py
TextAttack,Tool,Hotflip Ebrahimi 2017,arxiv,1712.06751,textattack/attack_recipes/hotflip_ebrahimi_2017.py
TextAttack,Tool,Pwws Ren 2019,author_citation,"Ren et al., 2019",textattack/attack_recipes/pwws_ren_2019.py
TextAttack,Tool,Deepwordbug Gao 2018,arxiv,1801.04354,textattack/attack_recipes/deepwordbug_gao_2018.py
TextAttack,Tool,Chinese Recipe,arxiv,2005.04118,textattack/attack_recipes/chinese_recipe.py
TextAttack,Tool,Chinese Recipe,author_citation,"Ribeiro et al., 2020",textattack/attack_recipes/chinese_recipe.py
TextAttack,Tool,Clare Li 2020,arxiv,2009.07502,textattack/attack_recipes/clare_li_2020.py
TextAttack,Tool,Clare Li 2020,author_citation,"Li et
    al., 2020",textattack/attack_recipes/clare_li_2020.py
TextAttack,Tool,Clare Li 2020,author_citation,"Sanh et al., 2019",textattack/attack_recipes/clare_li_2020.py
TextAttack,Tool,Clare Li 2020,author_citation,"Jin et al., 2020",textattack/attack_recipes/clare_li_2020.py
TextAttack,Tool,Seq2Sick Cheng 2018 Blackbox,arxiv,1803.01128,textattack/attack_recipes/seq2sick_cheng_2018_blackbox.py
TextAttack,Tool,Iga Wang 2019,arxiv,1909.06723,textattack/attack_recipes/iga_wang_2019.py
TextAttack,Tool,Bae Garg 2019,author_citation,"Ramakrishnan, 2019",textattack/attack_recipes/bae_garg_2019.py
TextAttack,Tool,Bae Garg 2019,author_citation,"Cer et al., 2018",textattack/attack_recipes/bae_garg_2019.py
TextAttack,Tool,Bae Garg 2019,author_citation,"Jin et al., 2019",textattack/attack_recipes/bae_garg_2019.py
TextAttack,Tool,Textfooler Jin 2019,arxiv,1907.11932,textattack/attack_recipes/textfooler_jin_2019.py
TextAttack,Tool,Bad Characters 2021,arxiv,2106.09898,textattack/attack_recipes/bad_characters_2021.py
TextAttack,Tool,Genetic Algorithm Alzantot 2018,arxiv,1804.07998,textattack/attack_recipes/genetic_algorithm_alzantot_2018.py
TextAttack,Tool,Checklist Ribeiro 2020,arxiv,2005.04118,textattack/attack_recipes/checklist_ribeiro_2020.py
TextAttack,Tool,Checklist Ribeiro 2020,author_citation,"Ribeiro et al., 2020",textattack/attack_recipes/checklist_ribeiro_2020.py
TextAttack,Tool,Pruthi 2019,arxiv,1905.11268,textattack/attack_recipes/pruthi_2019.py
TextAttack,Tool,Pruthi 2019,author_citation,"Pruthi et al., 2019",textattack/attack_recipes/pruthi_2019.py
TextAttack,Tool,Input Reduction Feng 2018,arxiv,1804.07781,textattack/attack_recipes/input_reduction_feng_2018.py
TextAttack,Tool,A2T Yoo 2021,arxiv,2109.00544,textattack/attack_recipes/a2t_yoo_2021.py
TextAttack,Tool,A2T Yoo 2021,author_citation,"Yoo et al., 2021",textattack/attack_recipes/a2t_yoo_2021.py
RobustBench,Benchmark,Various,author_citation,"most, 5000",robustbench/data.py
RobustBench,Benchmark,Various,author_citation,"most, 5000",robustbench/data.py
RobustBench,Benchmark,Various,author_citation,"most, 5000",robustbench/data.py
RobustBench,Benchmark,Various,arxiv,2003.09461,robustbench/leaderboard/template.py
RobustBench,Benchmark,Various,author_citation,"ECCV, 2020",robustbench/leaderboard/template.py
RobustBench,Benchmark,Various,author_citation,"Copyright, 2020",robustbench/model_zoo/architectures/dm_wide_resnet.py
RobustBench,Benchmark,Various,author_citation,"Copyright, 2020",robustbench/model_zoo/architectures/Meansparse_wrn_94_16.py
RobustBench,Benchmark,Various,author_citation,"Copyright, 2020",robustbench/model_zoo/architectures/Meansparse_wrn_70_16.py
